"Rangkuman Posisi Terbuka"
"","Nama","Simbol","Bursa","Jenis","Jumlah","Harga Rata-Rata","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","Bobot","P/L Harian","P/L Harian %","P/L Bersih%","P/L Bersih","Tanggal Penghasilan Berikutnya","Bursa","Terakhir","Bid","Ask","Perpanjangan Waktu","Perpanjangan Waktu (%)","Pembukaan","Sblm.","Tertinggi","Terendah","Prb.","Prb.%","Vol.","Tanggal Penghasilan Berikutnya","Waktu","Market Cap","Pendapatan","Vol.Rata-Rata (3bln)","EPS","Rasio P/E","Beta","Dividen","Imbal Hasil","5 Menit","15 Menit","30 Menit","Per Jam","5 Jam","Harian","Mingguan","Bulanan","Harian","1 Minggu","1 Bulan","YTD","1 Tahun","3 Tahun"

"Nilai Pasar","$0,00"
"P/L Terbuka","$0,00 / 0,00%"
"P/L Harian","-$1.884.916.700.000,00 / -0,08%"
"P/L Total","$95.153.260.788.669,78"


"Posisi Terbuka"
"","Nama","Simbol","Bursa","Tgl Buka","Jenis","Jumlah","Harga Pembukaan","Hrg Skrg","Perpanjangan Waktu","Perpanjangan Waktu (%)","Sblm.","Nilai Pasar","Komisi","P/L Bersih%","Bobot","P/L Harian","P/L Harian %","P/L Bersih","Tanggal Penghasilan Berikutnya"


"Posisi Tertutup"
"","Nama","Simbol","Bursa","Tanggal Pembukaan","Jenis","Jumlah","Harga Pembukaan","Tanggal Penutupan","Harga Penutupan","Untung%","P/L Bersih"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","04/04/2021","Jual","1000000000.00000000","847.669.000","04/04/2021","847.668.000","0,01%","$687.900,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","999999999999.99999999","58.000,1","04/04/2021","58.016,2","0,03%","$16.099.999.999.999,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","04/04/2021","Beli","1000000000.00000000","848.761.000","04/04/2021","847.669.000","-6,43%","-$751.186.800,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","999999999999.99999999","57.935,5","04/04/2021","57.915,1","0,04%","$20.400.000.000.001,00"
"","BTC/IDR","BTC/IDR","BitcoinIndonesia","04/05/2021","Jual","2000000000.00000000","849.573.000","04/05/2021","849.149.000","4,99%","$583.339.200,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","999999999999.99999999","49.421,0","04/04/2021","49.404,5","3,34%","$19.404.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","999999999999.99999999","57.929,7","04/04/2021","57.944,6","0,03%","$14.900.000.000.001,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","999999999999.99999999","58.074,9","04/04/2021","58.032,4","0,07%","$42.500.000.000.000,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/05/2021","Beli","2000000000.00000000","49.615,3","04/04/2021","49.548,5","-13,46%","-$157.126.960.000,01"
"","ETH/EUR","ETH/EUR","Coinbase Pro","04/04/2021","Jual","999999999999.99999999","1.766,40","04/04/2021","1.765,72","7,70%","$799.748.000.000,07"
"","ETH/USD","ETH/USD","Binance","04/05/2021","Jual","2000000000.00000000","2.069,59","04/04/2021","2.068,85","3,58%","$1.480.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/05/2021","Beli","2000000000.00000000","58.154,7","04/05/2021","58.125,0","-0,05%","-$59.399.999.999,99"
"","BTC/BRL","BTC/BRL","MercadoBitcoin","04/05/2021","Jual","2000000000.00000000","335.326,7","04/05/2021","335.326,7","0,00%","$0,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Beli","999999999999.99999999","49.642,3","04/04/2021","49.587,1","-11,12%","-$64.937.280.000.005,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","999999999999.99999999","58.130,1","04/04/2021","58.140,1","-0,02%","-$10.000.000.000.000,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","999999999999.99999999","49.605,1","04/04/2021","49.600,1","1,01%","$5.882.000.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","999999999999.99999999","58.102,0","04/04/2021","58.106,2","0,01%","$4.199.999.999.997,10"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","999999999999.99999999","58.102,6","04/04/2021","58.105,0","0,00%","$2.400.000.000.001,50"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","999999999999.99999999","49.599,3","04/04/2021","49.575,8","4,74%","$27.645.400.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","1000000000.00000000","58.053,0","04/04/2021","58.052,1","0,00%","$900.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","10000000000.00000000","58.073,0","04/04/2021","58.060,7","0,02%","$123.000.000.000,03"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","1000000000.00000000","58.043,2","04/04/2021","58.035,5","0,01%","$7.700.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","1000000000.00000000","58.038,4","04/04/2021","58.022,7","0,03%","$15.700.000.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10000.00000000","58.047,1","04/04/2021","58.054,1","0,01%","$70.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","90000.00000000","58.050,9","04/04/2021","58.054,1","0,01%","$288.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","1000000000.00000000","58.032,3","04/04/2021","58.039,3","-0,01%","-$7.000.000.000,00"
"","ETH/USD","ETH/USD","Bibox","04/04/2021","Jual","25000000.00000000","2.075,02","04/04/2021","2.073,84","5,69%","$29.500.000,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Beli","1000000000.00000000","49.549,9","04/04/2021","49.546,9","-0,61%","-$3.529.200.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","1000000.00000000","58.033,2","04/04/2021","58.025,8","0,01%","$7.400.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","57.999,5","04/04/2021","58.011,5","0,02%","$120,00"
"","ETH/USD","ETH/USD","Bibox","04/04/2021","Jual","25000.00000000","2.069,34","04/04/2021","2.070,68","-6,48%","-$33.500,00"
"","BTC/EUR","BTC/EUR","Binance","04/04/2021","Jual","10.00000000","49.481,7","04/04/2021","49.533,9","-21,10%","-$614,08"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","57.916,3","04/04/2021","57.919,3","0,01%","$30,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","1000.00000000","57.951,6","04/04/2021","57.919,9","-0,05%","-$31.700,00"
"","ETH/USD","ETH/USD","Bibox","04/04/2021","Jual","100000.00000000","2.070,48","04/04/2021","2.067,82","25,69%","$266.000,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","1.00000000","57.949,2","04/04/2021","57.956,0","-0,01%","-$6,80"
"","ETH/USD","ETH/USD","Bibox","04/04/2021","Beli","25.89855000","2.069,56","04/04/2021","2.071,54","0,10%","$51,28"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","57.866,4","04/04/2021","57.899,0","0,06%","$326,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","57.930,1","04/04/2021","57.899,0","-0,05%","-$311,00"
"","BTC/KRW","BTC/KRW","Bithumb","04/04/2021","Beli","10.00000000","73.192.000","04/04/2021","73.150.000","-22,95%","-$371,70"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","10.00000000","49.405,8","04/04/2021","49.364,5","8,36%","$485,85"
"","BTC/EUR","BTC/EUR","BitStamp","04/04/2021","Beli","10.00000000","49.336,7","04/04/2021","49.288,0","-39,48%","-$572,91"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","10.00000000","57.941,5","04/04/2021","57.930,4","0,02%","$111,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Beli","10.00000000","49.441,4","04/04/2021","49.452,8","11,53%","$134,11"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","10.00000000","57.916,6","04/04/2021","57.932,0","-0,03%","-$154,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","10.00000000","49.403,9","04/04/2021","49.429,2","-25,61%","-$297,63"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","10.00000000","49.477,8","04/04/2021","49.481,6","-0,19%","-$44,70"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","57.948,9","04/04/2021","57.963,1","0,02%","$142,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","100.00000000","57.955,3","04/04/2021","57.950,5","-0,01%","-$480,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","100.00000000","49.495,0","04/04/2021","49.484,7","1,04%","$1.211,69"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","57.978,3","04/04/2021","57.977,8","-0,00%","-$5,00"
"","BTC/EUR","BTC/EUR","Binance","04/04/2021","Jual","10.00000000","49.533,8","04/04/2021","49.549,6","-1,59%","-$185,87"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","57.969,8","04/04/2021","57.988,8","0,03%","$190,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","10.00000000","57.969,5","04/04/2021","57.968,2","0,00%","$13,00"
"","BTC/EUR","BTC/EUR","Binance","04/04/2021","Beli","10.00000000","49.528,3","04/04/2021","49.528,3","0,00%","$0,00"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Jual","10.00000000","58.012,2","04/04/2021","58.007,6","0,01%","$46,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Beli","10.00000000","49.533,2","04/04/2021","49.512,4","-0,04%","-$244,69"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","10.00000000","49.470,5","04/04/2021","49.540,4","-0,14%","-$822,30"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","57.976,4","04/04/2021","57.982,8","0,01%","$64,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","10.00000000","49.475,8","04/04/2021","49.472,3","0,01%","$41,17"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","57.945,9","04/04/2021","57.947,3","0,00%","$14,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","10.00000000","49.460,0","04/04/2021","49.454,0","0,01%","$70,58"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","57.938,7","04/04/2021","57.944,6","0,01%","$59,00"
"","BTC/EUR","BTC/EUR","Coinbase Pro","04/04/2021","Jual","10.00000000","49.631,7","04/04/2021","49.523,2","0,22%","$1.276,39"
"","Bitcoin","BTC/USD","Investing.com","04/04/2021","Beli","10.00000000","58.056,6","04/04/2021","57.987,1","-0,12%","-$695,00"

"P/L Tertutup","$95.153.260.788.669,78"


